university,dimension,label,tone,rationale,evidence_quote,chunk_id
Harvard University,Purpose_Scope,2,Balanced,Explicitly states purpose and scope of use,The University supports responsible experimentation with generative AI tools,1
Harvard University,Permitted_Uses,1,Restrictive,"Allows use only via approved tools, no detailed list of activities",Use approved tools for Harvard work,1
Harvard University,Prohibited_Uses,2,Restrictive,Clear prohibition on sensitive data in public tools; also warns against phishing,You should not enter data classified as confidential (Level 2 and above) into publicly-available generative AI tools,1
Harvard University,Disclosure_Citation_Requirements,1,Balanced,Imposes responsibility but no explicit citation policy,You are responsible for any content that you publish or share that includes AI-generated material,1
Harvard University,Accountability_Enforcement,2,Restrictive,"Mandates assessment and oversight, implying enforcement mechanisms",All vendor generative AI tools must be assessed for risk by Harvard's Information Security and Data Privacy office prior to use in Harvard work,1
Harvard University,Pedagogical_Integration,1,Balanced,Encourages faculty guidance but lacks detailed pedagogical framework,Faculty should be clear with students they're teaching and advising about their policies on permitted uses,1
Harvard University,Ethical_Equity_Considerations,2,Restrictive,"Addresses privacy, security, and potential misuse",Information shared with generative AI tools using default settings is not private and could expose proprietary or sensitive information to unauthorized parties,1
Harvard University,Tone_Orientation,1,Balanced,Overall tone is cautious but supportive,The University supports responsible experimentation with generative AI tools,1
Harvard University,Implementation_Authority,2,Restrictive,"Clear authority bodies identified (HUIT, InfoSec)",HUIT and School IT providers have procured a range of generative AI tools... All vendor generative AI tools must be assessed for risk by Harvard's Information Security and Data Privacy office prior to use in Harvard work,1
Harvard University,Tools_Specificity,2,Balanced,Provides specific tool lists and procurement process,A list of available tools provided by HUIT can be found here. More tools may be available from your School IT provider.,1
Stanford University,Purpose_Scope,2,Balanced,Explicitly states scope (MBA/MSx) and purpose (guidelines).,"COURSE POLICIES ON GENERATIVE AI USE GSB Guidelines on Classroom AI Use GSB Policy MBA/MSx courses: Instructors may not ban student use of AI tools for take-home coursework, including assignments and exams.",1
Stanford University,Permitted_Uses,2,Permissive,Clear statement of allowed uses across course types.,"AI Tools Permitted for All Coursework…you may use generative AI tools for all coursework, including in-class work",1
Stanford University,Prohibited_Uses,1,Restrictive,Mentions restrictions but not exhaustive; weakly present.,Avoid inputting information that should not be made public…high risk data is never appropriate for use with any AI tool,1
Stanford University,Disclosure_Citation_Requirements,2,Balanced,Explicit citation requirement with formats.,Cite all AI-generated material and/or explain how you have drawn on AI-generated material in your work. Please cite AI-generated content using [MLA style / APA style / Chicago style],1
Stanford University,Accountability_Enforcement,1,Restrictive,Mentions instructor discretion but lacks enforcement mechanisms.,"Instructors may choose whether to allow student use of AI tools for in-class work, including exams. Instructors may not ban student use…",1
Stanford University,Pedagogical_Integration,2,Balanced,Strong guidance linking AI policy to learning objectives.,Tips for Setting Your Approach to AI Use Consider your course goals to inform how you guide students on using AI in your course. Explain your choices about AI use to students.,1
Stanford University,Ethical_Equity_Considerations,1,Restrictive,Acknowledges ethical risks but limited detail on equity.,Generative AI tools can provide false information…perpetuate biases and/or stereotypes,1
Stanford University,Tone_Orientation,2,Balanced,Overall tone is permissive with some restrictions; balanced approach.,"Instructors may not ban student use of AI tools for take-home coursework, including assignments and exams. Instructors may choose whether to allow student use…",1
Stanford University,Implementation_Authority,1,Restrictive,Delegates authority but not detailed implementation structure.,Follow the Generative AI Policy Guidance from Stanford's Office of Community Standards.,1
Stanford University,Tools_Specificity,2,Balanced,Specifies tools and guidelines for use.,"Use the Stanford AI Playground whenever possible…When using a third-party, non-Stanford-approved AI tool such as a personal ChatGPT account…",1
Stanford University,Purpose_Scope,2,Balanced,"Policy explicitly defines when and where AI use is permitted, covering in-class vs take‑home work.",AI tools will be allowed: ... specify allowable assignment types,2
Stanford University,Permitted_Uses,2,Balanced,Clear guidance on approved tools and contexts for permissible use.,Use the Stanford AI Playground whenever possible,2
Stanford University,Prohibited_Uses,2,Restrictive,Explicitly forbids certain data types and in‑class usage of generative AI.,you may not input this data into third‑party AI tools,2
Stanford University,Disclosure_Citation_Requirements,2,Balanced,"Mandates citation with specified styles or explanations, ensuring transparency.",Cite all AI-generated material and/or explain how you have drawn on AI-generated material,2
Stanford University,Accountability_Enforcement,1,Balanced,References external resources for compliance but lacks explicit enforcement mechanisms.,Review and follow the guidelines provided in Stanford IT's resource on Responsible AI at Stanford,2
Stanford University,Pedagogical_Integration,2,Balanced,Policy ties AI use to learning objectives and provides rationale for restrictions.,"This course is designed to challenge your creative, analytic, and critical thinking skills",2
Stanford University,Ethical_Equity_Considerations,2,Restrictive,"Acknowledges bias, misinformation, and data privacy concerns, promoting responsible use.","Generative AI tools can provide false information (called 'hallucinations'), perpetuate biases and/or stereotypes",2
Stanford University,Tone_Orientation,1,Balanced,Overall tone is cautious but supportive of AI integration with clear boundaries.,Use the Stanford AI Playground whenever possible,2
Stanford University,Implementation_Authority,1,Balanced,"Delegates authority to course instructors via existing policy forms, no central mandate specified.",Refer to the Course Policies and Norms form for the assignment types on which AI tools are allowed,2
Stanford University,Tools_Specificity,2,Restrictive,"Specifies a particular platform and outlines data restrictions, providing concrete guidance.",Use the Stanford AI Playground whenever possible when using AI tools for your coursework,2
Stanford University,Purpose_Scope,1,Balanced,Mentions specific data types but lacks broader institutional purpose.,"In this course, you will work with [sensitive / copyrighted / personal] data",3
Stanford University,Permitted_Uses,2,Restrictive,"Explicitly allows use of a designated tool, indicating clear permitted usage.",you may only use the Stanford AI Playground,3
Stanford University,Prohibited_Uses,2,Restrictive,Direct prohibition against external tools and high-risk data usage.,you may not input this data into third-party AI tools,3
Stanford University,Disclosure_Citation_Requirements,2,Balanced,Strong requirement for citation with specified styles or explanations.,Cite all AI-generated material and/or explain how you have drawn on AI-generated material,3
Stanford University,Accountability_Enforcement,1,Balanced,Implied accountability but no explicit enforcement mechanism stated.,Be prepared to fact-check and critically evaluate all AI-generated information,3
Stanford University,Pedagogical_Integration,1,Balanced,Acknowledges integration challenges but lacks detailed pedagogical guidance.,The materials these tools generate does not necessarily meet the standards of this course,3
Stanford University,Ethical_Equity_Considerations,2,Restrictive,"Explicitly addresses bias, misinformation, and copyright concerns.","Generative AI tools can provide false information (called 'hallucinations'), perpetuate biases and/or stereotypes, or draw on copyrighted information without proper attribution",3
Stanford University,Tone_Orientation,1,Balanced,Overall tone leans cautious but not overly punitive.,Note that high risk data is never appropriate for use with any AI tool,3
Stanford University,Implementation_Authority,0,N/A,No mention of who enforces or implements the policy within the excerpt.,,3
Stanford University,Tools_Specificity,2,Restrictive,"Specifies a particular tool and references Responsible AI guidelines, indicating high specificity.",Stanford AI Playground,3
Yale University,Purpose_Scope,2,Balanced,"Explicitly states that AI policy is defined per course, covering purpose and scope.",Each course at Yale sets its own policies for using AI,1
Yale University,Permitted_Uses,1,Restrictive,Mentions permitted uses but only via instructor discretion; no detailed list of allowed activities.,How and whether instructors permit you to use AI writing tools at Yale will vary widely from course to course,1
Yale University,Prohibited_Uses,2,Restrictive,Clearly identifies unauthorized use as prohibited and ties it to academic integrity violations.,Using AI when it's not authorized in a course constitutes academic dishonesty,1
Yale University,Disclosure_Citation_Requirements,2,Balanced,Explicit citation requirement stated; strong enforcement.,"Yale College regulations require that you cite the source for any material you submit as part of your coursework, including language, images, and ideas that you source from AI",1
Yale University,Accountability_Enforcement,2,Restrictive,"Specifies disciplinary body for violations, indicating clear accountability mechanism.",students would be subject to proceedings of the Executive Committee,1
Yale University,Pedagogical_Integration,1,Balanced,Mentions pedagogical intent but lacks detailed integration guidance.,These policies are designed to support you as you learn fundamental and higher skills within each discipline,1
Yale University,Ethical_Equity_Considerations,0,,"No explicit discussion of ethics, equity, or bias considerations in the excerpt.",,1
Yale University,Tone_Orientation,1,Balanced,Overall tone is cautious but allows flexibility; neither strongly permissive nor prohibitive.,"AI policies vary by instructor, course, and assignment",1
Yale University,Implementation_Authority,2,Restrictive,Clear statement that instructors hold authority over AI usage policies.,How and whether instructors permit you to use AI writing tools at Yale will vary widely from course to course,1
Yale University,Tools_Specificity,1,Balanced,Mentions AI tools but does not specify particular software or platforms; general guidance only.,Using AI Outside of Courses Check with supervisors about AI use in Yale employment,1
california institute of technology,Purpose_Scope,2,Balanced,Explicitly states purpose and scope for applicants.,Ethical Use of AI: Guidelines for Fall 2026 Applicants,1
california institute of technology,Permitted_Uses,1,Balanced,Lists specific allowed uses but limited in scope.,"Using AI tools, like Grammarly or Microsoft Editor, to review grammar and spelling",1
california institute of technology,Prohibited_Uses,2,Restrictive,Clear prohibition of using AI for drafting essays.,Relying on AI...to craft your essay will dilute your unique expression,1
california institute of technology,Disclosure_Citation_Requirements,1,Balanced,Requires disclosure but no citation requirement for content.,Did you receive any AI generated assistance in the preparation of your application materials?,1
california institute of technology,Accountability_Enforcement,0,,No enforcement mechanisms or penalties described.,,1
california institute of technology,Pedagogical_Integration,1,Balanced,"Mentions AI for brainstorming, limited pedagogical role.",Generating questions or exercises to help kick start the brainstorming process,1
california institute of technology,Ethical_Equity_Considerations,2,Restrictive,Explicit emphasis on ethics and equity in policy language.,The Caltech community cares deeply about the ethical and social implications of AI technology,1
california institute of technology,Tone_Orientation,1,Balanced,Overall tone is inquisitive with some caution.,"We are curious, just like you!",1
california institute of technology,Implementation_Authority,2,Restrictive,Policy set by specific admissions committees.,Undergraduate Faculty Admissions and Graduate Studies committees convened and have approved of the following ethical guidelines,1
california institute of technology,Tools_Specificity,1,Balanced,Mentions specific tools but not exhaustive list.,large language models such as ChatGPT or Bard,1
Duke University,Purpose_Scope,1,Balanced,"The policy exists but is described only in general terms, lacking detailed scope.",follows the AI policies of Duke University,1
Duke University,Permitted_Uses,1,Balanced,Allowed uses are mentioned but not comprehensively defined.,Use only with prior permission,1
Duke University,Prohibited_Uses,1,Restrictive,"The policy references prohibitions, yet specifics are missing.",Use prohibited,1
Duke University,Disclosure_Citation_Requirements,1,Balanced,Citation or acknowledgment is required for certain uses.,Use only with acknowledgment,1
Duke University,Accountability_Enforcement,0,NA,No enforcement mechanisms or accountability measures are described.,,1
Duke University,Pedagogical_Integration,2,Permissive,Explicit strategies for integrating AI into teaching and assessment are provided.,Introduction of AI tools in their courses,1
Duke University,Ethical_Equity_Considerations,1,Balanced,"Some ethical and equity concerns are acknowledged, but coverage is limited.",Keep accessibility and privacy in mind,1
Duke University,Tone_Orientation,1,Balanced,"The overall tone appears balanced, neither overly restrictive nor permissive.",Use only with prior permission,1
Duke University,Implementation_Authority,1,Balanced,"Faculty are empowered to customize policies, indicating decentralized authority.",Draft your own AI policy,1
Duke University,Tools_Specificity,1,NA,"A link and examples are provided, but specific tool guidelines are sparse.",https://www.dukekunshan.edu.cn/center-for-teaching-and-learning/ai-and-teaching/,1
Johns Hopkins University,Purpose_Scope,2,Balanced,explicitly states purpose and scope of responsible use across JHU and JHM,committed to harnessing the power of AI responsibly,1
Johns Hopkins University,Permitted_Uses,1,Restrictive,"mentions approved tools but no detailed list, weak presence",Start with Our Approved AI Tools,1
Johns Hopkins University,Prohibited_Uses,2,Restrictive,clearly prohibits use of unapproved third‑party tools for sensitive data,Do not enter nonpublic proprietary Hopkins data,1
Johns Hopkins University,Disclosure_Citation_Requirements,1,Balanced,"implies need to review and possibly disclose AI involvement, but not explicit citation policy",You are responsible for any content that you produce or publish,1
Johns Hopkins University,Accountability_Enforcement,2,Restrictive,provides contact for reporting violations; enforcement implied through policies,report suspicious messages to phishing@jhu.edu,1
Johns Hopkins University,Pedagogical_Integration,1,Balanced,acknowledges academic use but gives limited guidance,Students should consult their instructors before utilizing AI within their coursework,1
Johns Hopkins University,Ethical_Equity_Considerations,2,Restrictive,addresses ethical risks and equity concerns about misinformation,"AI-generated content can be inaccurate, misleading, or entirely fabricated and may contain copyrighted material",1
Johns Hopkins University,Tone_Orientation,1,Balanced,overall tone is cautious but not overly prohibitive,"to ensure that these technologies are used safely, ethically, and in compliance with all applicable policies",1
Johns Hopkins University,Implementation_Authority,2,Restrictive,specifies authority and process for tool approval,JHM and SOM requests for additional AI tools must go through the Software Intake Process (SIP),1
Johns Hopkins University,Tools_Specificity,1,Balanced,mentions approved tools but lacks detailed list or specifications,Our Approved AI Tools JHM and SOM requests for additional AI tools must go through the SIP,1
Northwestern University,Purpose_Scope,2,Balanced,"Explicitly states that all courses adhere to these standards, indicating scope and purpose.",Northwestern University courses follow the University Syllabus Standards,1
Northwestern University,Permitted_Uses,1,Restrictive,Mentions use of academic support tools but does not specify generative AI usage; weak evidence of permitted uses.,Students are encouraged to take advantage of resources available through Academic Support and Learning Advancement,1
Northwestern University,Prohibited_Uses,2,Restrictive,Clear prohibition against improper AI-generated content in coursework.,"Any form of cheating, including improper use of content generated by artificial intelligence, constitutes a violation of Northwestern's academic integrity policy",1
Northwestern University,Disclosure_Citation_Requirements,0,N/A,No mention of disclosure or citation requirements for AI usage.,,1
Northwestern University,Accountability_Enforcement,2,Restrictive,"Directly ties compliance to the university’s academic integrity policy, implying enforcement mechanisms.",Students enrolled in Northwestern courses are required to comply with Northwestern's academic integrity policy,1
Northwestern University,Pedagogical_Integration,1,Balanced,Mentions recording as a pedagogical tool but no explicit integration of AI in teaching.,Instructors will inform students if they will record class sessions for educational purposes,1
Northwestern University,Ethical_Equity_Considerations,2,Permissive,"Shows commitment to equity and accessibility, though not specific to AI ethics.",Northwestern University is committed to providing a supportive environment for students with disabilities,1
Northwestern University,Tone_Orientation,1,Restrictive,Overall tone is informative and somewhat restrictive regarding policy compliance.,Students are responsible for familiarizing themselves with this information,1
Northwestern University,Implementation_Authority,2,Balanced,"Specifies who must enforce policies, indicating clear authority structure.",All University employees (including student employees) and graduate students with teaching or supervisory authority are required to report all allegations of sexual misconduct...,1
Northwestern University,Tools_Specificity,0,N/A,No specific tools or AI platforms mentioned; policy is generic.,,1
Northwestern University,Purpose_Scope,0,,No statement of purpose or scope for a generative‑AI policy appears in the excerpt.,,2
Northwestern University,Permitted_Uses,0,,The text does not describe any permitted uses of AI tools.,,2
Northwestern University,Prohibited_Uses,1,Restrictive,"Mentions prohibition of unauthorized recordings, but no mention of AI usage. Weak presence.",Unauthorized student recording of classroom or other academic activities is prohibited,2
Northwestern University,Disclosure_Citation_Requirements,0,,No disclosure or citation requirements are stated.,,2
Northwestern University,Accountability_Enforcement,1,Restrictive,"Mentions enforcement for recordings, but not AI. Weak presence.",Students who engage in unauthorized recording... will be referred to the appropriate University office for follow‑up and potential discipline,2
Northwestern University,Pedagogical_Integration,0,,No discussion of integrating AI into pedagogy.,,2
Northwestern University,Ethical_Equity_Considerations,1,Balanced,"General equity language, but no specific AI ethics. Weak presence.",Northwestern is committed to fostering an academic community respectful of and welcoming to persons of differing backgrounds,2
Northwestern University,Tone_Orientation,0,,No explicit tone regarding AI policy.,,2
Northwestern University,Implementation_Authority,1,Balanced,"Mentions instructors as points of contact, but no authority for AI policy. Weak presence.",Students should consult with their instructor by the end of the second week of the term,2
Northwestern University,Tools_Specificity,0,,No specific tools or technical details are mentioned.,,2
Northwestern University,Purpose_Scope,1,Balanced,The policy states the purpose of using Copilot but does not detail full scope beyond this service.,Use of Generative AI Systems Copilot is the University's supported artificial intelligence service.,3
Northwestern University,Permitted_Uses,2,Permissive,"Explicitly allows use of Copilot under instructor guidance and requires citation, indicating clear permitted uses.","Please follow instructors' guidelines for your assignments, clarify expectations for each assignment with your instructors, and provide proper citations when using generative AI.",3
Northwestern University,Prohibited_Uses,0,NA,No explicit prohibitions are mentioned in the excerpt.,,3
Northwestern University,Disclosure_Citation_Requirements,2,Balanced,Direct instruction to cite AI usage.,provide proper citations when using generative AI,3
Northwestern University,Accountability_Enforcement,0,NA,No enforcement mechanisms or accountability measures are described.,,3
Northwestern University,Pedagogical_Integration,1,Balanced,"Mentions instructor guidance, implying pedagogical integration but not detailed.",Please follow instructors' guidelines for your assignments,3
Northwestern University,Ethical_Equity_Considerations,0,NA,No discussion of ethics or equity in the excerpt.,,3
Northwestern University,Tone_Orientation,1,Balanced,"Neutral tone, presenting Copilot as a supported tool.",Copilot is the University's supported artificial intelligence service,3
Northwestern University,Implementation_Authority,0,NA,No authority or responsible entity specified.,,3
Northwestern University,Tools_Specificity,2,Balanced,Specifies the particular AI tool (Copilot) and its integration with Northwestern's Microsoft tenant.,Copilot is the University's supported artificial intelligence service,3
University of Pennsylvania,Purpose_Scope,2,Balanced,Explicitly states scope covering key concerns; policy is comprehensive.,"Penn AI Guidance and Policies Generative AI raises considerations related to privacy, intellectual property, academic integrity, and accessibility.",1
University of Pennsylvania,Permitted_Uses,1,Balanced,Mentions availability but no detailed list of permitted uses.,Penn offers access to a number of AI tools,1
University of Pennsylvania,Prohibited_Uses,2,Restrictive,Clear prohibitions on student data entry and use of unlicensed tools.,Do not enter any information that could identify a student,1
University of Pennsylvania,Disclosure_Citation_Requirements,1,Balanced,Encourages transparency but lacks formal citation rules.,consider being transparent with students about why their work will be shared,1
University of Pennsylvania,Accountability_Enforcement,1,Restrictive,Mentions enforcement body but no detailed accountability mechanisms.,"Office of Audit, Compliance & Privacy mandates the following restrictions",1
University of Pennsylvania,Pedagogical_Integration,2,Permissive,Explicitly allows instructor discretion and integration into course design.,Individual instructors determine their own policies related to acceptable student use of generative AI in coursework,1
University of Pennsylvania,Ethical_Equity_Considerations,1,Balanced,References privacy and accessibility but limited detail on equity.,"privacy protections, accessibility",1
University of Pennsylvania,Tone_Orientation,2,Balanced,"Overall tone is guidance-oriented, supportive yet cautious.",Penn provides guidelines for the use of AI tools with student data and educational records,1
University of Pennsylvania,Implementation_Authority,2,Balanced,Authority delegated to instructors; institutional oversight via ISC and Office of Audit.,Individual instructors determine their own policies related to acceptable student use,1
University of Pennsylvania,Tools_Specificity,1,Balanced,Mentions categories but does not list specific tools or features.,Penn-licensed AI Tools Penn offers access to a number of AI tools,1
Cornell University,Purpose_Scope,2,Balanced,Explicitly states purpose and scope of policy,To best support student learning and reduce violations of academic integrity,1
Cornell University,Permitted_Uses,1,Balanced,Mentions conditions under which use is allowed but not detailed,"When generative AI is permitted, clarify expectations for documentation and attribution",1
Cornell University,Prohibited_Uses,0,N/A,No explicit list of prohibited uses provided,,1
Cornell University,Disclosure_Citation_Requirements,2,Balanced,Strong requirement for citation and verification,Require that students verify the accuracy of all citations and references they include in their work,1
Cornell University,Accountability_Enforcement,1,Balanced,Describes investigative process but lacks formal enforcement mechanisms,Instructors should use their initial impressions...followed by objective evidence,1
Cornell University,Pedagogical_Integration,2,Permissive,Provides tools for integrating policy into teaching materials,A set of course policy icons has been developed ... can be incorporated into your syllabus or assignment instructions,1
Cornell University,Ethical_Equity_Considerations,1,Balanced,Acknowledges potential issues but limited depth on equity,Discuss with students how generative AI output can be incorrect or problematic,1
Cornell University,Tone_Orientation,2,Permissive,"Overall tone is supportive yet cautious, encouraging responsible use",To best support student learning and reduce violations of academic integrity,1
Cornell University,Implementation_Authority,1,Balanced,Policy driven by advisory council but implementation left to faculty,Elizabeth Karns ... has developed the following recommendations for instructors,1
Cornell University,Tools_Specificity,2,Permissive,Provides concrete tools and resources for application,A set of course policy icons has been developed... downloadable and can be incorporated into your syllabus or assignment instructions,1
Cornell University,Purpose_Scope,1,Balanced,policy mentions AI use but lacks detailed scope,generative AI policy,2
Cornell University,Permitted_Uses,1,Balanced,allows instructional use with attribution,instructors choose to use LLMs to help in the preparation of course materials,2
Cornell University,Prohibited_Uses,0,N/A,no explicit prohibitions stated,,2
Cornell University,Disclosure_Citation_Requirements,2,Restrictive,clearly requires citation and disclosure of model details,include an AI-generated source in the methods section of their research paper,2
Cornell University,Accountability_Enforcement,0,N/A,no enforcement mechanisms described,,2
Cornell University,Pedagogical_Integration,1,Balanced,suggests assessment design but no concrete integration steps,designing authentic assessments will likely be far more effective than policing students,2
Cornell University,Ethical_Equity_Considerations,1,Balanced,"mentions trust and equity, but limited detail",establishing trusting relationships with students,2
Cornell University,Tone_Orientation,1,Restrictive,policy is cautious rather than prohibitive,We currently do not recommend using current automatic detection algorithms,2
Cornell University,Implementation_Authority,0,N/A,no authority or responsible office identified,,2
Cornell University,Tools_Specificity,1,Balanced,references external resources but no specific tools mandated,"article ""How Reliable are AI Detectors? Claims Versus Reality.""",2
University of Chicago,Purpose_Scope,1,Balanced,Policy acknowledges existence but lacks detailed scope; mentions instructor discretion.,does not have a set policy on AI tools in the classroom,1
University of Chicago,Permitted_Uses,2,Permissive,"Explicitly lists allowed uses (practice, writing help, understanding) and encourages exploration.",Students interested in these tools should be encouraged to explore how AI can help them in achieving their learning goals,1
University of Chicago,Prohibited_Uses,1,Restrictive,Only disallows un-attributed use; no other prohibitions stated.,Utilizing content from an AI tool without proper attribution is considered plagiarism,1
University of Chicago,Disclosure_CitationRequirements,2,Balanced,Clear requirement for citation and reference checking.,proper attribution is considered plagiarism,1
University of Chicago,AccountabilityEnforcement,0,,No enforcement mechanisms or consequences described beyond general punitive action for plagiarism.,,1
