Theme,Total_Frequency,Example_Description,Universities_Covered
**AI Definition & Scope**,12,"The policy explains what constitutes AI (machine learning, algorithms, training) and distinguishes it from general computing.",3
**AI Detection Tools**,12,"Mention of university‑explored detection software (e.g., GPTZero, AI Content Detector).",2
**AI Integration in Teaching**,12,"How instructors are adopting or resisting AI tools (e.g., ChatGPT) in coursework and curriculum design.",1
**AI Tool Adoption & Experimentation**,12,"Encourages instructors to try ChatGPT/GPT‑4 and other emerging AI tools, test prompts, and assess outputs before deciding how to use them.",1
**AI Use in Assessment**,12,Guidelines on how and when to allow or restrict AI‑generated content in student work.,1
**AI‑Use Governance**,12,The policy outlines how instructors should craft syllabus statements that define acceptable use of generative AI and align with university policy.,1
**Academic Honesty / Plagiarism**,12,The policy repeatedly states that submitting AI‑generated work without proper credit is a violation of academic honesty and will be treated as plagiarism or misconduct.,1
**Academic Integrity Code**,12,"The university’s core set of rules that define what constitutes cheating, plagiarism, and other violations when using AI.",1
**Academic Integrity Enforcement**,12,"The policy repeatedly references CMU’s academic‑integrity policy and treats violations (e.g., plagiarism, cheating) as infractions.",1
**Data Security & Privacy**,12,Guidance on protecting confidential data when using generative‑AI tools and the need for security/privacy reviews before sharing such data with public AI services.,2
**GAI Adoption & Benefits**,12,"The document promotes the integration of generative AI tools as valuable resources for teaching, research, and student learning.",1
**Human‑Centered Accountability**,12,"Emphasis that AI is a tool, not an autonomous decision‑maker; humans must review, approve and be responsible for all outputs.",1
**Human‑in‑the‑Loop / Oversight**,12,"Emphasis on balancing automation with human judgment, validation, and continuous evaluation.",2
**Appeals Process**,11,"Details filing deadlines, grounds for appeal (new info or procedural flaws), and the finality of decisions by the Dean of Graduate Studies.",3
**Best‑Practice Guidance**,11,"Practical recommendations for using AI responsibly, including prompt design and vetting outputs.",2
**Citation / Attribution Requirements**,11,Rules for citing AI assistance in assignments.,2
**Data Classification & Privacy**,11,Emphasizes that operational/confidential data must not be shared with any AI tool unless protected by legal agreements; public data may be used but without privacy expectations.,2
**Detection Tools & Reliability**,11,"Discussion of existing AI‑content detectors (Turnitin, GPTZero, etc.), their accuracy issues, and the creators’ own stance on reliability.",2
**Faculty Support & Resources**,11,"Points to institutional tools (Gradescope, BruinLearn, UCLA resources) and offers guidance on setting up accounts or seeking help.",3
**Policy Flexibility**,11,Encourages instructors to choose from four policy options and adapt language with WCP Director approval.,2
**Reporting & Investigation**,11,"Outlines who can report violations, how reports are handled by the Assistant Dean, evidence collection, and conditions for hearings.",2
**Risk Levels & Use Cases**,11,Categorization of low/medium/high risk scenarios with examples and conditions.,1
**Sanctions / Consequences**,11,Notes that breaches of the conduct code will result in sanctions similar to other forms of dishonesty.,2
**Student Responsibilities**,11,"Completing work honestly, acknowledging sources, seeking clarification.",2
**AI Basics & Definitions**,10,"Explains what generative AI and LLMs are, how they work, and why they can hallucinate or mis‑cite.",2
**AI Benefits / Pedagogical Value**,10,"Discussion of efficiency gains, personalized learning, role change for teachers, data‑driven decision making, and authentic assessment opportunities.",1
**AI Tool Overview**,10,General description of ChatGPT as a large‑language model chatbot and its basic function in education.,1
**AI‑Usage Policy**,10,"General guidance on how generative AI tools may be used or prohibited in coursework (e.g., not for completing assignments).",1
**AI‑Use Policy**,10,Guidelines on whether and how AI tools may be used in coursework.,2
**Academic Integrity & Cheating**,10,"Emphasis on preventing plagiarism, contract cheating, and ensuring proper citation when using AI tools.",1
**Academic Integrity / Dishonesty**,10,"Emphasis on preventing cheating, plagiarism, and maintaining integrity.",1
**Academic Integrity / Policy**,10,"Rules around permissible use of AI in coursework, references to Rutgers’ policy, instructor‑set guidelines.",2
**Artificial Intelligence (AI) Tools**,10,"Discusses the rapid rise of AI tools in education, their impact on faculty practices, and how they should be governed within coursework.",1
**Attribution / Credit**,10,"Students must explicitly acknowledge any use of AI tools (e.g., appendices, citations, color coding) whenever the output informs their assignments.",1
**Data Protection & Privacy**,10,"Rules governing the handling of institutional data, including classification, access control, and safeguarding personal information (FERPA, HIPAA, export controls).",1
**Ethical Use & Compliance**,10,"References to university policies, ethical implications, and the need to act responsibly with AI tools.",1
**Faculty Guidance**,10,"Practical tips, syllabus language, and recommended statements for instructors.",2
**Instructor Guidance & Policy Options**,10,"Detailed instructions for instructors on how to set expectations, choose between general permission, prohibition, or selective permission, and communicate them in syllabi.",1
**Pedagogical Integration & Assessment Design**,10,"Provides concrete ideas for redesigning assignments (e.g., prompt‑engineering tasks, fact‑checking, in‑class writing) so that AI is used productively rather than as a shortcut.",1
**Security & Compliance**,10,"Guidance on ensuring AI tools meet institutional and legal security standards (e.g., GDPR, CCPA).",2
**Student Accountability & Attribution**,10,"Students must submit original work, cite AI‑generated content, and verify accuracy of sources.",1
**Transparency / Disclosure**,10,Requirement to disclose generative‑AI usage in all academic/educational/research contexts.,3
**AI/ChatGPT Policy**,9,Discussion of how the university’s existing policy covers or needs to cover AI‑generated content.,1
**Academic Integrity & Authorship**,9,"Discusses plagiarism, proper citation of AI‑generated content, and the challenges of detecting AI use, stressing clear student expectations.",1
**Academic Integrity & Plagiarism**,9,"Emphasizes that AI use must be declared, that undeclared use is plagiarism, and links AI misuse to breaches of the integrity policy.",2
**Academic Standing & Dismissal**,9,"Describes departmental standards for good standing, course failure thresholds, and dismissal procedures.",1
**Assignments & Pedagogical Activities**,9,"Concrete classroom tasks that involve reviewing or creating AI‑generated work (papers, art, news, social media).",1
**Assignment‑Specific Guidelines**,9,"Distinct rules for writing, multimedia, math/statistics, readings, research, simulations, group work, exams, etc.",1
**Assignment‑Specific Rules**,9,"Differentiating AI use by homework, projects, exams, quizzes, etc.",1
**Cheating / Plagiarism**,9,"Specific acts of dishonesty such as copying, unauthorized aid, or submitting others’ work.",1
**Citation & Acknowledgement Requirements**,9,"The policy requires students to cite AI tools (APA style, version, prompts) whenever they are used.",1
**Data Confidentiality**,9,Guidance on not sharing confidential or high‑risk data with AI tools and treating all inputs as potentially public.,3
**Documentation / Citation**,9,"Calls for citing AI‑generated material just as one would cite human sources, using MLA/APA formats.",1
**Educational Applications**,9,"How faculty can use AI for course design, content creation, quizzes, assessments, etc.",2
**Ethics & Accountability**,9,"Mention of AI ethics (fairness, transparency, accountability) as part of the broader policy context.",2
**Ethics & Societal Impact**,9,"Addressing bias, misinformation, privacy, deepfakes, and broader societal consequences of AI content generation.",2
**Faculty Guidance / Responsibilities**,9,"Expectations for faculty to explain policies, monitor compliance, and refer cases to the Office of Academic Integrity (OAI).",1
**Instructor Guidance / Policy Implementation**,9,"Practical tips for instructors on syllabus statements, expectations, and collaboration with university offices.",1
**Plagiarism**,9,Copying or closely paraphrasing another’s writing without proper citation.,4
**Research‑Support Tools**,9,"Software that helps scholars locate, read, summarize, and cite scientific literature (e.g., Consensus, Elicit, Iris.ai, ScholarAI, ResearchRabbit, Semantic Scholar, scite, Scispace).",1
**Student Harm / Misconduct**,9,"Concerns about plagiarism, reduced critical thinking, loss of writing skills, misleading info, privacy, bias, and dependency.",1
**Student Responsibilities & Critical Use**,9,"Encourages students to draft prompts, evaluate outputs for accuracy/bias, fact‑check, and cite sources when using GAI tools.",1
**AI Adoption**,8,"The policy emphasizes that faculty, staff and students are already using generative AI tools on campus.",2
**AI Literacy / Critical AI Awareness**,8,"The document repeatedly stresses the need for faculty and students to understand how LLMs work, their limitations, biases, and potential harms.",1
**AI Policy Integration**,8,How instructors embed AI‑use rules into existing course syllabi and expectations.,1
**AI Tool Identification**,8,"Explicit listing of tools that may or may not be used (ChatGPT, Copilot, DALL‑E, etc.).",1
**AI Tools & Generative AI**,8,"Discussion of generative‑AI tools (ChatGPT, other GenAI) and their capabilities.",1
**AI Usage Prohibition / Default Disallowance**,8,Several examples state that generative AI is “not allowed” unless explicitly permitted in the assignment prompt.,1
**AI Use Guidelines**,8,"General rules for how AI may be used across the university (operations, research, teaching).",1
**Academic Honesty / Honor Code**,8,Repeated references to the College of Law’s Honor Code as the governing standard for all AI use.,2
**Academic Integrity / Research Use**,8,"Sections on using AI in coursework, research, and scholarly writing while maintaining integrity.",1
**Acceptable Uses (Non‑Data)**,8,"Provides examples of permissible uses that do not involve institutional data, such as syllabus planning, correspondence drafting, professional development, event planning, and reviewing public content.",1
**Allowed GenAI Use**,8,"Guidance on permissible uses of AI (study, brainstorming, proofreading) that do not involve evaluation.",1
**Benefits of AI**,8,"Acknowledgement that AI can enhance teaching, research, healthcare, and broader societal impact.",2
**Capabilities**,8,"List of tasks ChatGPT can perform (answering questions, writing essays, coding, summarizing, etc.).",1
**Citation & Attribution Practices**,8,Specifies that any AI‑generated content must be properly cited and documented.,2
**Course‑Level AI Use Policies**,8,"Three policy templates (Strict/No‑Use, Limited/Conditional, Encouraging/Open) that instructors can adopt to regulate AI in their courses.",1
**Default Rules & Exceptions**,8,"Outlines what is allowed or prohibited in the absence of explicit instructor direction, including use during assessments.",1
**Detection Tools & Arms‑Race**,8,Discussion of the limitations and costs of AI‑detection software and why it should not replace pedagogical design.,1
**Digital Literacy & Critical Thinking**,8,"Emphasizes teaching students to evaluate AI outputs, recognize misinformation, and develop skills for responsible interaction with digital media.",1
**Do/Don’t Guidance**,8,"Provides a structured list of do’s (e.g., fact‑check, disclose) and don’ts (e.g., upload IP, share unverified content).",1
**Fact‑Checking / Accuracy**,8,Explicit mandate that humans verify all facts supplied by AI and never rely on AI alone for factual content.,1
**Faculty Expectations & Syllabus**,8,"Guidance on how instructors should set, communicate, and document expectations about AI use in assignments.",1
**Faculty Governance & Roles**,8,"Highlights faculty responsibility to safeguard higher‑education integrity, the role of committees (UFS Academic Affairs Advisory Committee, Libraries & IT Committee), and leadership figures.",1
**Fairness in Grading**,8,"The policy repeatedly stresses that grading should be equitable for students who do and do not use LLMs, including baseline adjustments and penalties for unreflective reuse.",1
**Honor Code / Cheating Definition**,8,"Reference to JMU’s honor code, explicit examples of cheating (including AI‑generated work), and the consequences of violating it.",1
**Instructor Autonomy / Academic Freedom**,8,Instructors are empowered to decide their own syllabus stance while staying within institutional limits.,1
**Instructor Discretion / Pedagogical Choice**,8,"Faculty are empowered to decide whether and how AI tools fit within their courses, with guidance from CTL but no mandatory policy change required.",1
**Pedagogical Design & Writing Assessment**,8,"Strategies for crafting writing assignments, rubrics, and learning outcomes that account for AI assistance.",1
**Pedagogical Integration**,8,Provides concrete ways instructors can incorporate or counter AI in assignments and assessments.,1
**Permitted vs. Prohibited Uses**,8,"Explicit lists of allowed activities (e.g., brainstorming, grammar checks) versus disallowed ones (e.g., composition, exam help).",1
**Policy & Governance**,8,"Calls for clear course policies, alignment with Rutgers’ code of conduct, and evolving departmental guidelines.",2
**Policy Compliance**,8,"Requirement to follow UW‑Madison, UWSA, and Board of Regents policies when using generative AI tools.",1
**Privacy & Data Security**,8,Cautions about sharing personal or proprietary information with cloud‑based AI services.,2
**Resources & Guidance**,8,"Lists external guides, case studies, and sample syllabus statements for faculty to adopt.",3
**Resources & Support**,8,"Mention of OTEAR Canvas site, sample rubrics, statements for syllabi, and availability of consultation.",2
**Responsible Use**,8,Guidance on how to experiment with generative AI while staying within existing rules and avoiding misuse.,3
**Sanctions (First/Second Offense)**,8,"Enumerates possible penalties ranging from warnings to expulsion, with harsher sanctions for repeat offenses.",1
**Student Benefit / Support**,8,"Highlights how AI can aid research, writing, time‑management, language learning, accessibility, and confidence.",1
**Student Engagement & Discussion**,8,"Recommendations for classroom conversations about ethics, expectations, and student perspectives.",2
**Student Learning Support**,8,"Highlights that AI can support learning but cannot replace core outcomes (genre conventions, revision skills).",2
**Student Usage Guidelines**,8,"Specific rules about when AI is allowed, how it must be cited, and precautions students should take.",1
**Student Use Guidelines**,8,"Specific rules about how students may use AI, including permission, source acknowledgment, and compliance with scholarly standards.",2
**Syllabus Statements**,8,Mention of the university’s recommended syllabus statements for undergraduate courses.,3
**Teaching Practices / Faculty Guidance**,8,"Recommendations for faculty on how to talk with students, design assessments, and integrate AI responsibly are given.",1
Academic Honesty,8,"Emphasis on integrity, the Honor Code, and clear expectations for student work.",3
Academic Integrity,8,The policy discusses how universities should address honesty in the use of AI tools.,4
**AI Tools**,7,"Discussion of specific generative‑AI products (ChatGPT, Jasper, DALL‑E 2, etc.) and how they work.",1
**AI in Education**,7,"The policy discusses the rise of AI tools (e.g., ChatGPT) and their influence on teaching and learning at Mercer University.",2
**AI‑Teaching Guidance**,7,The document outlines general principles and best practices for instructors using AI in courses.,1
**AI‑in‑Education**,7,The overall focus on how generative AI can be integrated into teaching and learning activities.,1
**Academic Integrity & Conduct**,7,"Guidance on how to enforce or relax integrity rules when using AI tools, including citing sources and charging violations.",1
**Accessibility & Inclusive Design**,7,"Accessibility reviews (EEAAP), disability accommodations, and compliance with policy AD69.",2
**Assessment Adaptation**,7,"Strategies for redesigning assignments (alternative formats, authentic tasks) to account for AI’s capabilities.",1
**Assessment Design & Integrity Safeguards**,7,"Strategies such as low‑stakes quizzes, authentic tasks, and assignments that cannot be completed by AI are proposed.",1
**Assessment Design**,7,"Offers strategies for making assessments less susceptible to AI use (in‑class, proctoring, oral components, content specificity).",2
**Banning Challenges**,7,Discusses the impracticality of outright bans and the risks of adversarial student relationships.,1
"**Bias, Fairness & Ethical Concerns**",7,"Repeated warnings about potential bias in AI‑generated content, hallucinations, and the need for ethical discussions.",1
**Capabilities & Limitations**,7,"Outlines what generative AI can do (text, images, code) and where it falls short (fact‑checking, real‑time browsing).",1
**Citation & Documentation**,7,"Repeated calls to properly document, cite, and follow library citation guidelines when using AI outputs.",2
**Consultation & Support Services**,7,Promotion of the Office of Faculty Development and Advancement as a resource for faculty dealing with integrity issues.,1
**Context‑Specific Usage**,7,"AI may be used only in approved contexts (brainstorming, drafting, research) and not for final submissions unless explicitly permitted.",1
**Data Classification & Protection**,7,Links to data classification guidelines (CIA) and cautions about uploading restricted or critical data to AI services.,1
**Ethical & Bias Considerations**,7,"Discussion of GenAI bias, hallucinations, language dominance, and the need for ethical use in decision‑making.",2
**Ethics & Privacy**,7,"Calls for responsible use, respecting privacy/confidential data, and avoiding misuse (e.g., cheating).",2
"**Ethics, Privacy & Cost**",7,"Discussions of data ownership, ethical use, subscription fees, and the potential to widen inequities.",1
**Faculty & Staff Support**,7,"Roles of the Office of Community Standards, Trefny Center, Provost’s office, and other resources in advising instructors and students.",1
**Faculty Autonomy**,7,"Instructors are free to choose any approach, including none at all, reflecting individual pedagogical preferences.",2
**Faculty Guidance / Syllabus Transparency**,7,"Advice for faculty on how to communicate expectations, policies, and support resources in syllabi.",1
**Generative‑AI Usage**,7,"The policy outlines how generative AI services may be used at IU, including recommended tools and general usage guidelines.",1
**Instructor Guidance & Expectations**,7,"Instructors are urged to communicate expectations, explain “why,” and decide when AI is allowed.",1
**Intellectual Property / Attribution**,7,"Requires proper citation of ideas, sources, and AI‑generated material; warns against invented references.",1
**Interdisciplinary Collaboration**,7,"Involves researchers from RPI’s Future of Computing Institute, a panelist, an actress, and external institutions (Rutgers) working together.",2
**Limitations & Biases**,7,"Acknowledged shortcomings such as outdated knowledge, verbosity, potential inaccuracies, bias, and lack of multimodal support.",1
**Policy / Syllabus Statements**,7,Guidance on drafting AI‑specific syllabus statements and institutional policy references.,1
**Policy Development Process**,7,"Describes the multi‑step approval chain: Senate plenary, student conduct officers, various committees, Board of Trustees, and public hearings.",1
**Policy Development**,7,The text discusses the lack of a formal institutional AI policy and encourages schools/departments to create their own approaches.,2
**Policy Gap**,7,IU currently lacks specific generative‑AI policies beyond general data security/privacy rules.,2
**Procedural Steps**,7,"Detailed steps for reporting, investigation, and appeal.",1
**Prompt Engineering**,7,"Detailed instructions on crafting effective prompts (background, question, format).",3
**Risk Categorization**,7,"Low/Medium/High risk framework for different use cases (content generation, data analysis, meetings, etc.).",1
**Security & Risk Assessment**,7,"Guidance on evaluating AI tools for security, privacy policies, and vendor reputation before use.",1
**Student Learning Outcomes & Skill Development**,7,"Highlights how AI can support writing, coding, research, and oral communication while encouraging independent skill building (e.g., editing drafts).",1
**Student Responsibility / Accuracy Checks**,7,Students must verify the validity of AI‑generated content and cannot submit inaccurate or biased material.,1
**Student Responsibility / Critical Thinking**,7,"Emphasis on students mastering AI tools responsibly, reflecting on their use, and maintaining critical‑thinking skills.",1
**Student Responsibility**,7,"Students must read, understand, and abide by the code of conduct and related policies; ignorance is not an excuse.",3
**Syllabus Design & Tone**,7,"Guidance on creating a student‑centered syllabus that sets tone, clarity, and expectations.",1
**Teaching & Assessment**,7,"How AI can be integrated into lesson planning, grading, and student work (e.g., content creation, assignment design, recommendation).",1
**Training Data & Bias**,7,"Discusses how biased or inaccurate data leads to biased outcomes (e.g., facial‑recognition bans, gender bias in hiring).",1
**Transparency & Accountability**,7,Requirements that users consult governing bodies before employing external AI tools.,3
**Usage Restrictions / Prohibitions**,7,"Rules about when AI can’t be used (brainstorming, writing, editing).",1
**Use‑Case Exploration**,7,"The policy lists concrete examples of how generative AI can be applied in communications (brainstorming, content suggestions, A/B testing, alt‑text, etc.).",1
**Writing & Editing Assistance**,7,"AI‑powered grammar, style, paraphrasing, and plagiarism checking tools for academic writing (e.g., Grammarly, Trinka, Writefull, Copyscape, GPT‑4, GPTZero).",1
**AI Adoption & Deployment**,6,Guidance on how LMU introduces and uses AI tools across campus.,1
**AI Adoption in Extension**,6,The policy frames AI as a strategic tool for Extension’s outreach and service delivery to North Carolinians.,1
**AI Benefits & Risks**,6,Repeatedly acknowledges both positive potentials and uncertainties of AI across campus.,1
**AI Limitations & Uncertainty**,6,"The policy repeatedly notes that generative‑AI outputs are opaque, may be fabricated or biased, and lack clear provenance.",1
**AI Literacy / Critical Understanding**,6,"Emphasis on educating faculty and students about how LLMs work, their limitations, biases, and potential harms.",1
**AI Literacy / Digital Literacy**,6,"Frames critical AI literacy as part of broader digital literacy, stressing foundational knowledge of how AI works.",1
**AI Policy & Governance**,6,"The document outlines Harvard’s overall stance on generative‑AI usage in courses, including the need for syllabi statements and institutional guidance.",1
**AI Tool Awareness & Risks**,6,"Discussion of specific AI tools (ChatGPT, DALL‑E, etc.) and their pitfalls (bias, inaccuracies).",1
**AI Usage Guidelines**,6,General rules about when and how students may employ generative‑AI tools in coursework.,1
**AI Use Policy**,6,The document outlines the overall rules governing how AI tools may be employed by students and staff at the Vol Study Center.,1
**AI Writing Tools**,6,"Mentions of ChatGPT and other language‑model tools as new, sophisticated writing aids that can produce essay‑style content.",1
**AI in Higher Education**,6,"General discussion of AI’s growing presence and its implications for teaching, learning, and research at the university.",1
**AI in the Classroom**,6,Guidance on how AI tools may be used or restricted during instruction.,1
**AI‑Generated Historical Representation**,6,The policy discusses using AI to recreate the voice and dialogue of a historical figure (Emily Roebling) for a university event.,1
**AI‑Policy Development**,6,Guidance on how faculty should craft and communicate their own AI use policies for courses.,1
**AI‑Usage Permissions**,6,"Emphasis on whether instructors allow AI tools for specific assignments, and the need to seek explicit permission.",1
**Academic Honesty / Attribution**,6,"Rules around the use of AI, required citations, and how non‑attributed AI content constitutes dishonesty.",1
**Academic Honesty / Integrity**,6,"General rules about unauthorized assistance, plagiarism, and honesty are emphasized throughout.",1
**Academic Integrity Policy**,6,The document establishes the university’s overarching rules for academic honesty and outlines responsibilities for all community members.,1
**Accountability**,6,Stresses that users remain responsible for their work regardless of the tools employed.,2
**Allowed vs Prohibited Use**,6,Explicitly lists what is prohibited (sharing confidential data) versus allowable (public data with restrictions on output).,1
**Assignment Design & Constraints**,6,"Strategies for redesigning tasks to discourage easy AI completion while encouraging creativity, reflection, and collaboration.",1
**Committee for Academic Integrity**,6,"Composition, terms, selection process, and duties of the committee that promotes integrity across campus.",1
**Compliance & Regulations**,6,"References to HIPAA, FERPA, GDPR, GLBA, federal/state laws, and university codes that must govern AI use.",1
**Conditional/Permitted AI Use**,6,"Some examples allow AI use only for certain assignments or activities, with clear conditions.",1
**Conditional/Permitted Use**,6,"Scenarios where limited or full use of AI is allowed (e.g., brainstorming only, fact‑checking).",1
**Copyright & Intellectual Property**,6,Brief mention of copyright concerns when using AI‑generated content.,3
**Course Design Interventions (Short‑Term)**,6,"Quick changes such as scaffolding, lower‑stakes assignments, writing samples, etc.",1
**Course Structure & Assessment Modality**,6,"Ideas for lowering stakes, using oral/podcast formats, or frequent short assignments.",1
**Detection & Investigation**,6,"Discussion of AI detectors, their limitations, and how investigations should focus on evidence beyond detection scores.",1
**Documentation & Declaration**,6,"All AI use must be transparently documented in submissions (e.g., “I attest…”) and declared to instructors.",1
**Equitable Access & Fair Grading**,6,The policy emphasizes that all students should have equal access to AI tools and that grading must remain fair regardless of tool usage.,1
**Equity & Inclusion**,6,The text notes that AI detectors can disproportionately flag non‑native English speakers and urges inclusive teaching strategies.,1
**Error / Hallucination Management**,6,"Emphasis on verifying AI output, cross‑checking facts, and avoiding unverified content.",1
**Ethical & Safety Concerns**,6,"Calls for safeguards when AI could cause harm (e.g., autonomous vehicles, weaponry) and stresses “do no harm” is insufficient.",1
**Exceptions & Instructor Dialogue**,6,Process for requesting exceptions or clarifications via email.,1
**Expectations & Communication**,6,"Instructors are urged to clearly state when and how AI tools may be used, tying these rules to course learning goals.",1
**FAQs / Practical Guidance**,6,"The FAQ section addresses common questions about ChatGPT, account setup, and tool availability.",1
**Faculty Development & Support**,6,"Faculty are encouraged to learn about generative AI, adapt pedagogy, and use the AI² repository for resources and guidance.",2
**Faculty Discretion & Autonomy**,6,Faculty are empowered to decide how AI may be used or prohibited in each course.,1
**Faculty Perspectives / Case Examples**,6,"Individual faculty statements, syllabus excerpts, and examples illustrating diverse approaches.",1
**Faculty‑Student Collaboration**,6,Encourages instructors to discuss AI policies with students and co‑create guidelines rather than imposing top‑down rules.,1
**Faculty‑Student Communication**,6,"Emphasis on explicit discussion of the chosen approach and its rationale, including explanations for why tools are allowed or disallowed.",1
**Generative‑AI Tool Landscape**,6,"Lists specific generative‑AI products (ChatGPT, Claude, Copilot, Gemini, DALL‑E, etc.) and their capabilities.",1
**Guidance & Communication**,6,"Emphasis on clearly telling students what is allowed, why it matters, and how rules apply to each assignment or exam.",1
**Inclusivity & DEI**,6,"The policy stresses inclusive language, belonging, and the impact of tone on marginalized students.",1
**Instructor Autonomy**,6,Emphasizes that individual faculty are responsible for creating policies aligned with their teaching philosophies and values.,2
**Instructor Discretion & Course‑Level Policy**,6,Guidance on how instructors should craft course‑specific statements—either prohibiting or permitting AI use with clear parameters.,1
**Instructor Guidance & Clarification**,6,The text repeatedly invites students to ask instructors about permissible use and clarifies expectations per course.,1
**Instructor Guidance**,6,Encourages students to seek clarification from their instructors about permissible AI use.,2
**Instructor–Student Communication**,6,"Emphasis on clear, transparent syllabus statements and expectations about AI use.",1
**Integration of AI into Curriculum**,6,"Suggestions for using LLMs as a tool, designing assignments that incorporate or exclude AI, and leveraging AI for creativity.",1
**Intellectual Property (IP) Rights**,6,"Concerns about copyright, patent, and third‑party IP that may appear in AI‑generated content.",2
**Learning Outcomes & Pedagogy**,6,"Guidance on aligning AI use with course objectives, designing assignments that foster AI literacy, and evaluating when AI supports or undermines learning.",1
**Learning‑Centered Use**,6,"Emphasizes that GenAI should support core learning outcomes (creativity, critical thinking, ethical decision‑making) and warns against undermining objectives like personal voice or original argumentation.",1
**Legal & Copyright Issues**,6,"Guidance on terms of service, user agreements, copyright status of AI output, and FOIA considerations for meeting notes.",1
**Legal & Regulatory Compliance**,6,"References to FERPA, HIPAA, GLBA and other state/federal laws that govern AI use.",2
**Limitations & Reliability**,6,"Points about ChatGPT’s knowledge cutoff, bias, hallucinations, and lack of fact‑checking.",1
**Pedagogical Design / Assignment Strategy**,6,"Recommendations for designing assignments that resist easy AI completion (higher‑order thinking, project‑based work, staged tasks).",1
**Pedagogical Integration / Skill Development**,6,"AI is framed as a tool that can enhance writing, coding, creativity, and critical thinking when used reflectively and in alignment with learning outcomes.",1
**Pedagogical Use of AI**,6,"Highlights how AI can support brainstorming, drafting, editing, tutoring, debugging, etc., and encourages process‑over‑product teaching.",1
**Permitted vs Restricted Use**,6,"Distinguishes when GAI is allowed or prohibited, and how those boundaries are set by instructors.",1
**Plagiarism / Citation Issues**,6,"Specific mention of poor citation practices, paraphrasing skills, and how these relate to AI‑related incidents.",1
**Plagiarism Detection & Assessment Tools**,6,"The policy discusses anti‑plagiarism software, its fallibility, and cautions against using it for grading or feedback.",1
